市名,町名,フリガナ
奈良市,青垣台,アオガキダイ
奈良市,青野町,アオノチョウ
奈良市,青山,アオヤマ
奈良市,赤膚町,アカハダチョウ
奈良市,秋篠早月町,アキシノサツキチョウ
奈良市,秋篠三和町,アキシノサンワチョウ
奈良市,秋篠新町,アキシノシンマチ
奈良市,秋篠町,アキシノチョウ
奈良市,朝日町,アサヒチョウ
奈良市,阿字万字町,アゼマメチョウ
奈良市,油阪地方町,アブラサカジカタチョウ
奈良市,油阪町,アブラサカチョウ
奈良市,尼辻北町,アマガツジキタマチ
奈良市,尼辻町,アマガツジチョウ
奈良市,尼辻中町,アマガツジナカマチ
奈良市,尼辻西町,アマガツジニシマチ
奈良市,尼辻南町,アマガツジミナミマチ
奈良市,あやめ池北,アヤメイケキタ
奈良市,あやめ池南,アヤメイケミナミ
奈良市,藺生町,イウチョウ
奈良市,池田町,イケダチョウ
奈良市,池之町,イケノチョウ
奈良市,石木町,イシキチョウ
奈良市,井上町,イノウエチョウ
奈良市,今市町,イマイチチョウ
奈良市,今小路町,イマコウジチョウ
奈良市,今在家町,イマザイケチョウ
奈良市,今辻子町,イマヅシチョウ
奈良市,今御門町,イマミカドチョウ
奈良市,陰陽町,インヨウチョウ
奈良市,右京,ウキョウ
奈良市,歌姫町,ウタヒメチョウ
奈良市,荻町,オオギチョウ
奈良市,邑地町,オオジチョウ
奈良市,大野町,オオノチョウ
奈良市,大渕町,オオブチチョウ
奈良市,大保町,オオボチョウ
奈良市,大宮町,オオミヤチョウ
奈良市,大森町,オオモリチョウ
奈良市,大森西町,オオモリニシマチ
奈良市,大柳生町,オオヤギュウチョウ
奈良市,大倭町,オオヤマトチョウ
奈良市,大和田町,オオワダチョウ
奈良市,小川町,オガワチョウ
奈良市,興ヶ原町,オクガハラチョウ
奈良市,奥子守町,オクコモリチョウ
奈良市,奥芝町,オクシバチョウ
奈良市,小倉町,オグラチョウ
奈良市,押上町,オシアゲチョウ
奈良市,押熊町,オシクマチョウ
奈良市,押小路町,オシコウジチョウ
奈良市,大平尾町,オビラオチョウ
奈良市,肘塚町,カイノヅカチョウ
奈良市,鵲町,カササギチョウ
奈良市,柏木町,カシワギチョウ
奈良市,春日野町,カスガノチョウ
奈良市,桂木町,カツラギチョウ
奈良市,上三条町,カミサンジョウチョウ
奈良市,上深川町,カミフカワチョウ
奈良市,杏町,カラモモチョウ
奈良市,川上町,カワカミチョウ
奈良市,川久保町,カワクボチョウ
奈良市,川之上町,カワノカミチョウ
奈良市,川之上突抜町,カワノカミツキヌケチョウ
奈良市,瓦堂町,カワラドウチョウ
奈良市,漢国町,カンゴクチョウ
奈良市,学園赤松町,ガクエンアカマツチョウ
奈良市,学園朝日町,ガクエンアサヒチョウ
奈良市,学園朝日元町,ガクエンアサヒモトマチ
奈良市,学園北,ガクエンキタ
奈良市,学園新田町,ガクエンシンデンチョウ
奈良市,学園大和町,ガクエンダイワチョウ
奈良市,学園中,ガクエンナカ
奈良市,学園緑ヶ丘,ガクエンミドリガオカ
奈良市,学園南,ガクエンミナミ
奈良市,元興寺町,ガンゴウジチョウ
奈良市,元林院町,ガンリインチョウ
奈良市,北市町,キタイチチョウ
奈良市,北魚屋西町,キタウオヤニシマチ
奈良市,北魚屋東町,キタウオヤヒガシマチ
奈良市,北川端町,キタカワバタチョウ
奈良市,北京終町,キタキョウバテチョウ
奈良市,北小路町,キタコウジチョウ
奈良市,北新町,キタシンマチ
奈良市,北椿尾町,キタツバオチョウ
奈良市,北登美ヶ丘,キタトミガオカ
奈良市,北永井町,キタナガイチョウ
奈良市,北之庄町,キタノショウチョウ
奈良市,北之庄西町,キタノショウニシマチ
奈良市,北野山町,キタノヤマチョウ
奈良市,北半田中町,キタハンダナカマチ
奈良市,北半田西町,キタハンダニシマチ
奈良市,北半田東町,キタハンダヒガシマチ
奈良市,北袋町,キタフクロチョウ
奈良市,北風呂町,キタフロチョウ
奈良市,北御門町,キタミカドチョウ
奈良市,北向町,キタムキチョウ
奈良市,北村町,キタムラチョウ
奈良市,北室町,キタムロチョウ
奈良市,紀寺町,キデラチョウ
奈良市,京終地方西側町,キョウバテジカタニシガワチョウ
奈良市,京終地方東側町,キョウバテジカタヒガシガワチョウ
奈良市,沓掛町,クツカケチョウ
奈良市,公納堂町,クノウドウチョウ
奈良市,窪之庄町,クボノショウチョウ
奈良市,恋の窪,コイノクボ
奈良市,恋の窪東町,コイノクボヒガシマチ
奈良市,興善院町,コウゼンインチョウ
奈良市,光明院町,コウミョウインチョウ
奈良市,興隆寺町,コウリュウジチョウ
奈良市,虚空蔵町,コクゾウチョウ
奈良市,小太郎町,コタロウマチ
奈良市,神殿町,コドノチョウ
奈良市,小西町,コニシチョウ
奈良市,此瀬町,コノセチョウ
奈良市,五条,ゴジョウ
奈良市,五条町,ゴジョウチョウ
奈良市,五条西,ゴジョウニシ
奈良市,五条畑,ゴジョウバタ
奈良市,後藤町,ゴトウチョウ
奈良市,西九条町,サイクジョウチョウ
奈良市,西大寺赤田町,サイダイジアコダチョウ
奈良市,西大寺北町,サイダイジキタマチ
奈良市,西大寺国見町,サイダイジクニミチョウ
奈良市,西大寺小坊町,サイダイジコボウチョウ
奈良市,西大寺栄町,サイダイジサカエマチ
奈良市,西大寺芝町,サイダイジシバマチ
奈良市,西大寺新池町,サイダイジシンイケチョウ
奈良市,西大寺新田町,サイダイジシンデンチョウ
奈良市,西大寺新町,サイダイジシンマチ
奈良市,西大寺高塚町,サイダイジタカツカチョウ
奈良市,西大寺宝ヶ丘,サイダイジタカラガオカ
奈良市,西大寺町,サイダイジチョウ
奈良市,西大寺野神町,サイダイジノガミチョウ
奈良市,西大寺東町,サイダイジヒガシマチ
奈良市,西大寺本町,サイダイジホンマチ
奈良市,西大寺南町,サイダイジミナミマチ
奈良市,西大寺竜王町,サイダイジリュウオウチョウ
奈良市,阪新屋町,サカノシンヤチョウ
奈良市,阪原町,サカハラチョウ
奈良市,狭川東町,サガワヒガシマチ
奈良市,狭川両町,サガワリョウチョウ
奈良市,佐紀町,サキチョウ
奈良市,左京,サキョウ
奈良市,佐保台,サホダイ
奈良市,佐保台西町,サホダイニシマチ
奈良市,三条大路,サンジョウオオジ
奈良市,三条大宮町,サンジョウオオミヤチョウ
奈良市,三条川西町,サンジョウカワニシチョウ
奈良市,三条栄町,サンジョウサカエマチ
奈良市,三条添川町,サンジョウソエカワチョウ
奈良市,三条町,サンジョウチョウ
奈良市,三条桧町,サンジョウヒノキマチ
奈良市,三条本町,サンジョウホンマチ
奈良市,三条宮前町,サンジョウミヤマエチョウ
奈良市,敷島町,シキシマチョウ
